"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "Markdown", "XML", "JavaScript JSX", "MS SQL", "comment", "blank", "total"
"e:\coursework\ecosort-backend\config\Articles.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"e:\coursework\ecosort-backend\config\Check_weights.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 30
"e:\coursework\ecosort-backend\config\Discounts.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"e:\coursework\ecosort-backend\config\Keys.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\coursework\ecosort-backend\config\Likes.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"e:\coursework\ecosort-backend\config\Marks.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"e:\coursework\ecosort-backend\config\Points.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"e:\coursework\ecosort-backend\config\Points_marks.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"e:\coursework\ecosort-backend\config\Promo_codes.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\coursework\ecosort-backend\config\Ratings.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\coursework\ecosort-backend\config\Receptions.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 10, 39
"e:\coursework\ecosort-backend\config\Users.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 1, 4, 22
"e:\coursework\ecosort-backend\config\cloudinaryConfig.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 3, 11
"e:\coursework\ecosort-backend\config\db.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 5, 4, 30
"e:\coursework\ecosort-backend\controllers\ArticlesController.js", "JavaScript", 0, 260, 0, 0, 0, 0, 0, 0, 26, 12, 298
"e:\coursework\ecosort-backend\controllers\AuthController.js", "JavaScript", 0, 239, 0, 0, 0, 0, 0, 0, 19, 32, 290
"e:\coursework\ecosort-backend\controllers\Check_weightsController.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 0, 8, 18, 140
"e:\coursework\ecosort-backend\controllers\DiscountsController.js", "JavaScript", 0, 218, 0, 0, 0, 0, 0, 0, 16, 36, 270
"e:\coursework\ecosort-backend\controllers\KeysController.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 1, 7, 42
"e:\coursework\ecosort-backend\controllers\MarksController.js", "JavaScript", 0, 115, 0, 0, 0, 0, 0, 0, 4, 13, 132
"e:\coursework\ecosort-backend\controllers\PointsController.js", "JavaScript", 0, 255, 0, 0, 0, 0, 0, 0, 16, 36, 307
"e:\coursework\ecosort-backend\controllers\Promo_codesController.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 6, 57
"e:\coursework\ecosort-backend\controllers\RatingsController.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 0, 32, 15, 167
"e:\coursework\ecosort-backend\controllers\ReceptionsController.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 0, 15, 23, 145
"e:\coursework\ecosort-backend\controllers\UploadController.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 3, 20
"e:\coursework\ecosort-backend\controllers\Used_discountsController.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 91, 4, 100
"e:\coursework\ecosort-backend\controllers\UsersController.js", "JavaScript", 0, 103, 0, 0, 0, 0, 0, 0, 3, 18, 124
"e:\coursework\ecosort-backend\middleware\HandleErrors.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\coursework\ecosort-backend\middleware\checkAuth.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 20, 4, 46
"e:\coursework\ecosort-backend\middleware\checkRole.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"e:\coursework\ecosort-backend\middleware\logger.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"e:\coursework\ecosort-backend\package-lock.json", "JSON", 3054, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3055
"e:\coursework\ecosort-backend\package.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"e:\coursework\ecosort-backend\routes\ArticlesRouter.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 167, 11, 192
"e:\coursework\ecosort-backend\routes\AuthRouter.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 213, 9, 235
"e:\coursework\ecosort-backend\routes\Check_weightsRouter.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 128, 7, 146
"e:\coursework\ecosort-backend\routes\DiscountsRouter.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 207, 12, 235
"e:\coursework\ecosort-backend\routes\KeysRouter.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 41, 5, 54
"e:\coursework\ecosort-backend\routes\MarksRouter.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 141, 10, 164
"e:\coursework\ecosort-backend\routes\PointsRouter.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 208, 12, 235
"e:\coursework\ecosort-backend\routes\Promo_codesRouter.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 47, 7, 61
"e:\coursework\ecosort-backend\routes\RatingsRouter.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 97, 8, 115
"e:\coursework\ecosort-backend\routes\ReceptionsRouter.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 28, 7, 41
"e:\coursework\ecosort-backend\routes\UploadRouter.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 3, 9
"e:\coursework\ecosort-backend\routes\Used_discountsRouter.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 2, 3, 11
"e:\coursework\ecosort-backend\routes\UsersRouter.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 67, 8, 86
"e:\coursework\ecosort-backend\server.js", "JavaScript", 0, 108, 0, 0, 0, 0, 0, 0, 3, 23, 134
"e:\coursework\ecosort-backend\swagger\swagger.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 4, 56
"e:\coursework\ecosort-backend\validations\ArticlesValidations.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 2, 14
"e:\coursework\ecosort-backend\validations\AuthValidations.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"e:\coursework\ecosort-backend\validations\DiscountsValidations.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
"e:\coursework\ecosort-backend\validations\MarksValidations.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\coursework\ecosort-backend\validations\PointsValidations.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"e:\coursework\ecosort-backend\validations\RatingsValidations.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\coursework\ecosort-backend\validations\ReceptionsValidations.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"e:\coursework\ecosort-frontend\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"e:\coursework\ecosort-frontend\package-lock.json", "JSON", 20206, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20207
"e:\coursework\ecosort-frontend\package.json", "JSON", 66, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"e:\coursework\ecosort-frontend\public\index.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 23, 1, 44
"e:\coursework\ecosort-frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\coursework\ecosort-frontend\src\App.css", "CSS", 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"e:\coursework\ecosort-frontend\src\App.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 4, 19, 102
"e:\coursework\ecosort-frontend\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\coursework\ecosort-frontend\src\components\AllDiscointItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 2, 5, 57
"e:\coursework\ecosort-frontend\src\components\ArticleItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 8, 45
"e:\coursework\ecosort-frontend\src\components\Button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"e:\coursework\ecosort-frontend\src\components\CommentItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 5, 45
"e:\coursework\ecosort-frontend\src\components\DiscountItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 3, 9, 78
"e:\coursework\ecosort-frontend\src\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 19, 115
"e:\coursework\ecosort-frontend\src\components\Layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 1, 2, 14
"e:\coursework\ecosort-frontend\src\components\MarksItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 2, 9, 71
"e:\coursework\ecosort-frontend\src\components\MenuItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"e:\coursework\ecosort-frontend\src\components\MobileMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 14, 89
"e:\coursework\ecosort-frontend\src\components\NavItam.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"e:\coursework\ecosort-frontend\src\components\NavMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"e:\coursework\ecosort-frontend\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 4, 6, 91
"e:\coursework\ecosort-frontend\src\components\PointItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 4, 6, 69
"e:\coursework\ecosort-frontend\src\components\PointMarkItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 2, 1, 22
"e:\coursework\ecosort-frontend\src\components\PromoCodeItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 7, 38
"e:\coursework\ecosort-frontend\src\components\RecycleCamera.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 198, 0, 0, 20, 218
"e:\coursework\ecosort-frontend\src\components\Wrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"e:\coursework\ecosort-frontend\src\components\constants.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 2, 9, 40
"e:\coursework\ecosort-frontend\src\components\styles\AddArticle.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"e:\coursework\ecosort-frontend\src\components\styles\RecycleCamera.css", "CSS", 0, 0, 0, 45, 0, 0, 0, 0, 0, 8, 53
"e:\coursework\ecosort-frontend\src\image\EcoSort.svg", "XML", 0, 0, 0, 0, 0, 55, 0, 0, 1, 1, 57
"e:\coursework\ecosort-frontend\src\image\EcoSort2.svg", "XML", 0, 0, 0, 0, 0, 41, 0, 0, 0, 2, 43
"e:\coursework\ecosort-frontend\src\image\bio-leaves.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\coursework\ecosort-frontend\src\image\earth.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 3
"e:\coursework\ecosort-frontend\src\image\icon-close-menu.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"e:\coursework\ecosort-frontend\src\image\icon-menu.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"e:\coursework\ecosort-frontend\src\index.css", "CSS", 0, 0, 0, 27, 0, 0, 0, 0, 3, 9, 39
"e:\coursework\ecosort-frontend\src\index.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\coursework\ecosort-frontend\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\coursework\ecosort-frontend\src\pages\AddArticlesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 159, 0, 0, 18, 177
"e:\coursework\ecosort-frontend\src\pages\AddDisсountPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 16, 16, 123
"e:\coursework\ecosort-frontend\src\pages\AddMarksPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 376, 0, 0, 22, 398
"e:\coursework\ecosort-frontend\src\pages\AddPointPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 186, 0, 28, 30, 244
