"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "Markdown", "JSON", "Docker", "HTML", "comment", "blank", "total"
"e:\diploma\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 8, 0, 8, 7, 23
"e:\diploma\frontend\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"e:\diploma\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 20391, 0, 0, 0, 1, 20392
"e:\diploma\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 69, 0, 0, 0, 1, 70
"e:\diploma\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"e:\diploma\frontend\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"e:\diploma\frontend\src\App.css", "PostCSS", 0, 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"e:\diploma\frontend\src\App.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 4, 19, 102
"e:\diploma\frontend\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\diploma\frontend\src\components\AllDiscointItem.jsx", "JavaScript JSX", 0, 58, 0, 0, 0, 0, 0, 0, 0, 7, 65
"e:\diploma\frontend\src\components\ArticleItem.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"e:\diploma\frontend\src\components\Button.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"e:\diploma\frontend\src\components\CommentItem.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 0, 6, 54
"e:\diploma\frontend\src\components\DiscountItem.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 0, 7, 74
"e:\diploma\frontend\src\components\Header.jsx", "JavaScript JSX", 0, 117, 0, 0, 0, 0, 0, 0, 0, 14, 131
"e:\diploma\frontend\src\components\Layout.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 1, 2, 14
"e:\diploma\frontend\src\components\MarksItem.jsx", "JavaScript JSX", 0, 72, 0, 0, 0, 0, 0, 0, 0, 5, 77
"e:\diploma\frontend\src\components\MenuItem.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 2, 2, 28
"e:\diploma\frontend\src\components\MobileMenu.jsx", "JavaScript JSX", 0, 75, 0, 0, 0, 0, 0, 0, 0, 14, 89
"e:\diploma\frontend\src\components\NavItam.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 0, 5, 48
"e:\diploma\frontend\src\components\NavMenu.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\diploma\frontend\src\components\Navbar.jsx", "JavaScript JSX", 0, 81, 0, 0, 0, 0, 0, 0, 4, 6, 91
"e:\diploma\frontend\src\components\PointItem.jsx", "JavaScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 9, 77
